Line #,File Name,variety,plant_stage,treatment,stage_treatment,Peak#,Ret. Time,Area,Height,Mark,ID#,Name,Area%,Subsample Volume (uL),IS Added (ng),IS Conc in Subsample (ng/uL),IS Peak Area,IS Injected (ng),Inj Volume Nominal (uL),Inj Volume Actual (uL),Analyte Mass Injected (ng),Analyte Mass in Subsample (ng),Total Extract Volume (uL),Total Mass of Analyte in Extract (ug),Mass of Tissue Extracted (g),Analyte Concentration in Tissue (ug/g)
1726,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,22,6.916,757955,100103, V ,12,CBC,11.011,na,na,na,na,na,5,na,255.1476454,na,na,na,na,
1728,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,24,7.966,345051,36643,SV ,14,CBCA,5.013,na,na,na,na,na,5,,235.9106802,na,na,na,na,
1717,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,13,3.099,334433,98480, V ,6,CBD,4.859,na,na,na,na,na,5,,246.3470433,na,na,na,na,
1714,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,10,2.619,603922,184962, V ,3,CBDA,8.774,na,na,na,na,na,5,,247.9079167,na,na,na,na,
1712,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,8,2.122,358545,149255, V ,2,CBDV,5.209,na,na,na,na,na,5,,247.7774653,na,na,na,na,
1711,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,7,1.912,652491,248525, V ,1,CBDVA,9.479,na,na,na,na,na,5,,251.637811,na,na,na,na,
1716,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,12,2.927,341271,103974, V ,5,CBG,4.958,na,na,na,na,na,5,,253.4154789,na,na,na,na,
1715,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,11,2.76,598062,176349, V ,4,CBGA,8.689,na,na,na,na,na,5,,247.1113879,na,na,na,na,
1722,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,18,4.503,803759,164189,SV ,9,CBN,11.677,na,na,na,na,na,5,,251.2924267,na,na,na,na,
1724,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,20,5.777,274718,45081, V ,11,delta-8-THC,3.991,na,na,na,na,na,5,,256.4637023,na,na,na,na,
1723,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,19,5.601,321767,51648,   ,10,delta-9-THC,4.675,na,na,na,na,na,5,,244.8090533,na,na,na,na,
1727,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,23,7.187,537718,64000, V ,13,THCA-A,7.812,na,na,na,na,na,5,,239.1653125,na,na,na,na,
1718,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,14,3.372,340551,93319, V ,7,THCV,4.947,na,na,na,na,na,5,,249.1838188,na,na,na,na,
1721,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,17,4.198,584721,116266, V ,8,THCVA,8.495,na,na,na,na,na,5,,241.5658566,na,na,na,na,
1705,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,1,1.184,1317,837,   ,,,0.019,na,na,na,na,na,5,,,na,na,na,na,
1706,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,2,1.247,4256,1360, V ,,,0.062,na,na,na,na,na,5,,,na,na,na,na,
1707,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,3,1.398,2078,1096, V ,,,0.03,na,na,na,na,na,5,,,na,na,na,na,
1708,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,4,1.51,6298,2934,   M,,,0.091,na,na,na,na,na,5,,,na,na,na,na,
1709,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,5,1.533,3536,1764, V M,,,0.051,na,na,na,na,na,5,,,na,na,na,na,
1710,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,6,1.707,1933,854,   ,,,0.028,na,na,na,na,na,5,,,na,na,na,na,
1713,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,9,2.346,1001,289, V ,,,0.015,na,na,na,na,na,5,,,na,na,na,na,
1719,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,15,3.745,1283,217, V ,,,0.019,na,na,na,na,na,5,,,na,na,na,na,
1720,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,16,3.911,4924,739, V ,,,0.072,na,na,na,na,na,5,,,na,na,na,na,
1725,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,21,6.447,1745,272,   ,,,0.025,na,na,na,na,na,5,,,na,na,na,na,
3591,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,18,6.085,1243,206,   ,17,5.934 CA unk,0.018,na,na,na,na,na,5,,0.573713217,na,na,na,na,
3592,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,19,6.579,779918,93687, V ,18,CBC,11.148,na,na,na,na,na,5,na,262.5379708,na,na,na,na,
3594,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,21,7.558,362374,35097,SV ,20,CBCA,5.18,na,na,na,na,na,5,,247.5348138,na,na,na,na,
3583,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,10,2.961,337166,98251, V ,10,CBD,4.819,na,na,na,na,na,5,,248.3800114,na,na,na,na,
3580,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,7,2.497,615980,189298,   ,7,CBDA,8.805,na,na,na,na,na,5,,253.0287031,na,na,na,na,
3579,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,6,2.043,362815,150749, V ,6,CBDV,5.186,na,na,na,na,na,5,,250.8054965,na,na,na,na,
3578,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,5,1.837,663171,257120, V ,5,CBDVA,9.479,na,na,na,na,na,5,,255.7969101,na,na,na,na,
3582,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,9,2.787,343916,103084, V ,9,CBG,4.916,na,na,na,na,na,5,,255.4322092,na,na,na,na,
3581,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,8,2.608,609299,182012, V ,8,CBGA,8.709,na,na,na,na,na,5,,251.8457692,na,na,na,na,
3587,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,14,4.251,811135,159920,SV ,14,CBN,11.594,na,na,na,na,na,5,,253.636271,na,na,na,na,
3590,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,17,5.484,280226,42924, V ,16,delta-8-THC,4.006,na,na,na,na,na,5,,261.8914928,na,na,na,na,
3589,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,16,5.309,327408,49411, V ,15,delta-9-THC,4.68,na,na,na,na,na,5,,249.1502371,na,na,na,na,
3593,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,20,6.814,533730,59738, V ,19,THCA-A,7.629,na,na,na,na,na,5,,237.4023166,na,na,na,na,
3584,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,11,3.192,343593,92792, V ,12,THCV,4.911,na,na,na,na,na,5,,251.4400822,na,na,na,na,
3586,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,13,3.942,593961,114728, V ,13,THCVA,8.49,na,na,na,na,na,5,,245.4312752,na,na,na,na,
3574,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,1,1.22,4112,1438,   ,,,0.059,na,na,na,na,na,5,,,na,na,na,na,
3575,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,2,1.351,3130,1365, V ,,,0.045,na,na,na,na,na,5,,,na,na,na,na,
3576,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,3,1.455,10356,3247,   ,,,0.148,na,na,na,na,na,5,,,na,na,na,na,
3577,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,4,1.666,4109,1233, V ,,,0.059,na,na,na,na,na,5,,,na,na,na,na,
3585,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,12,3.706,5168,975, V ,,,0.074,na,na,na,na,na,5,,,na,na,na,na,
3588,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,15,4.992,3091,282, V ,,,0.044,na,na,na,na,na,5,,,na,na,na,na,
3597,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,na,na,na,na,3,1.455,11939,3774,   ,2,1.500 CA unk ,0.168,na,na,na,na,na,5,,4.429090367,na,na,na,100,
3598,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,4,1.669,3736,1403,   ,4,1.768 CA unk,0.053,na,na,na,na,na,5,,1.370437438,na,na,na,na,
3613,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,19,6.117,1986,312,   ,17,5.934 CA unk,0.028,na,na,na,na,na,5,,0.914032358,na,na,na,na,
3614,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,20,6.595,804274,94873, V ,18,CBC,11.325,na,na,na,na,na,5,na,270.7334189,na,na,na,na,
3616,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,22,7.568,369852,35590,SV ,20,CBCA,5.208,na,na,na,na,na,5,,252.5495885,na,na,na,na,
3604,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,10,2.971,342158,98798, V ,10,CBD,4.818,na,na,na,na,na,5,,252.0937742,na,na,na,na,
3601,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,7,2.506,622823,188317, V ,7,CBDA,8.77,na,na,na,na,na,5,,255.9363151,na,na,na,na,
3600,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,6,2.051,366194,148244, V ,6,CBDV,5.156,na,na,na,na,na,5,,253.2023406,na,na,na,na,
3599,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,5,1.844,667447,257798, V ,5,CBDVA,9.399,na,na,na,na,na,5,,257.4622902,na,na,na,na,
3603,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,9,2.797,349997,103787, V ,9,CBG,4.928,na,na,na,na,na,5,,260.0703482,na,na,na,na,
3602,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,8,2.618,609343,179725, V ,8,CBGA,8.58,na,na,na,na,na,5,,251.8643107,na,na,na,na,
3609,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,15,4.264,829221,161097, V ,14,CBN,11.677,na,na,na,na,na,5,,259.3848568,na,na,na,na,
3612,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,18,5.498,283310,43419, V ,16,delta-8-THC,3.989,na,na,na,na,na,5,,264.9331534,na,na,na,na,
3611,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,17,5.323,335488,49984, V ,15,delta-9-THC,4.724,na,na,na,na,na,5,,255.3699011,na,na,na,na,
3615,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,21,6.827,537719,59446,SV ,19,THCA-A,7.572,na,na,na,na,na,5,,239.1657546,na,na,na,na,
3605,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,11,3.203,350913,93261, V ,12,THCV,4.941,na,na,na,na,na,5,,256.8704639,na,na,na,na,
3608,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,14,3.952,595411,114067, V ,13,THCVA,8.384,na,na,na,na,na,5,,246.03793,na,na,na,na,
3595,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,1,1.223,4645,1628,   ,,,0.065,na,na,na,na,na,5,,,na,na,na,na,
3596,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,2,1.351,3391,1605, V ,,,0.048,na,na,na,na,na,5,,,na,na,na,na,
3606,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,12,3.453,1686,303, V ,,,0.024,na,na,na,na,na,5,,,na,na,na,na,
3607,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,13,3.701,7384,1210, V ,,,0.104,na,na,na,na,na,5,,,na,na,na,na,
3610,14 comp cannabinoid std mix 250ng 5uL run 2-3-26.lcd,,na,na,na,16,4.97,2694,325, V ,,,0.038,na,na,na,na,na,5,,,na,na,na,na,
6671,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,19,6.561,397796,47485,   ,21,CBC,10.884,na,na,na,na,na,5,na,133.9431622,na,na,na,na,
6673,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,21,7.531,194577,19720,SV ,23,CBCA,5.324,na,na,na,na,na,5,,134.4184697,na,na,na,na,
6663,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,11,2.954,175932,50070, V ,13,CBD,4.814,na,na,na,na,na,5,,128.7802368,na,na,na,na,
6660,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,8,2.492,324135,110620, V ,10,CBDA,8.869,na,na,na,na,na,5,,130.2545058,na,na,na,na,
6658,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,6,2.038,188759,75533, V ,9,CBDV,5.165,na,na,na,na,na,5,,128.2865918,na,na,na,na,
6657,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,5,1.833,341370,151615, V ,7,CBDVA,9.341,na,na,na,na,na,5,,130.8270769,na,na,na,na,
6662,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,10,2.781,177474,52748, V ,12,CBG,4.856,na,na,na,na,na,5,,129.5050295,na,na,na,na,
6661,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,9,2.603,322406,103555, V ,11,CBGA,8.822,na,na,na,na,na,5,,131.6185119,na,na,na,na,
6667,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,15,4.241,412516,80719, V ,17,CBN,11.287,na,na,na,na,na,5,,127.5770286,na,na,na,na,
6664,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,12,3.185,177704,46997, V ,14,CBNA?,4.862,na,na,na,na,na,5,,72.32999226,na,na,na,na,
6669,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,17,5.47,141917,21733, V ,19,delta-8-THC,3.883,na,na,na,na,na,5,,127.7604154,na,na,na,na,
6668,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,16,5.295,169725,25187, V ,18,delta-9-THC,4.644,na,na,na,na,na,5,,128.1931796,na,na,na,na,
6672,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,20,6.792,291543,35052, V ,22,THCA-A,7.977,na,na,na,na,na,5,,130.1571206,na,na,na,na,
6666,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,14,3.931,319047,68301, V ,16,THCVA,8.73,na,na,na,na,na,5,,130.8135852,na,na,na,na,
6653,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,1,1.243,11123,2622,   ,,,0.304,na,na,na,na,na,5,,,na,na,na,na,
6654,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,2,1.393,1206,292, V ,,,0.033,na,na,na,na,na,5,,,na,na,na,na,
6655,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,3,1.5,1123,340, V ,,,0.031,na,na,na,na,na,5,,,na,na,na,na,
6656,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,4,1.63,1678,234, V ,,,0.046,na,na,na,na,na,5,,,na,na,na,na,
6659,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,7,2.22,1016,196, V ,,,0.028,na,na,na,na,na,5,,,na,na,na,na,
6665,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,13,3.675,1918,320, V ,,,0.052,na,na,na,na,na,5,,,na,na,na,na,
6670,14 comp cannabinoids std mix  125ng 5uL run 2-13-26.lcd,,na,na,na,18,6.1,1744,225, V ,,,0.048,na,na,na,na,na,5,,,na,na,na,na,
6605,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,2,1.738,557,105, V ,5,1.768 CA unk,0.124,na,na,na,na,na,5,,0.200581092,na,na,na,na,
6617,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,14,6.559,49268,5857,   ,21,CBC,11.004,na,na,na,na,na,5,na,16.60305119,na,na,na,na,
6619,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,16,7.532,22120,2277,   ,23,CBCA,4.941,na,na,na,na,na,5,,15.89441367,na,na,na,na,
6611,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,8,2.954,21505,6124, V ,13,CBD,4.803,na,na,na,na,na,5,,15.42049566,na,na,na,na,
6608,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,5,2.492,39665,13563, V ,10,CBDA,8.859,na,na,na,na,na,5,,14.83450276,na,na,na,na,
6607,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,4,2.038,23744,9317, V ,9,CBDV,5.303,na,na,na,na,na,5,,15.29038021,na,na,na,na,
6606,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,3,1.834,41869,18676, V ,7,CBDVA,9.352,na,na,na,na,na,5,,15.72262103,na,na,na,na,
6610,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,7,2.781,21447,6375, V ,12,CBG,4.79,na,na,na,na,na,5,,14.79156202,na,na,na,na,
6609,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,6,2.603,39203,12663, V ,11,CBGA,8.756,na,na,na,na,na,5,,15.35992266,na,na,na,na,
6614,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,11,4.24,50503,9900, V ,17,CBN,11.28,na,na,na,na,na,5,,15.09319722,na,na,na,na,
6612,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,9,3.184,21879,5794, V ,14,CBNA?,4.887,na,na,na,na,na,5,,8.675166356,na,na,na,na,
6616,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,13,5.467,18273,2723, V ,19,delta-8-THC,4.081,na,na,na,na,na,5,,14.69634695,na,na,na,na,
6615,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,12,5.294,20742,3094, V ,18,delta-9-THC,4.633,na,na,na,na,na,5,,15.2954665,na,na,na,na,
6618,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,15,6.791,36603,4304,SV ,22,THCA-A,8.176,na,na,na,na,na,5,,16.54928481,na,na,na,na,
6613,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,10,3.931,39169,8259, V ,16,THCVA,8.749,na,na,na,na,na,5,,15.64423262,na,na,na,na,
6604,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,1,1.578,81,52,   ,,,0.018,na,na,na,na,na,5,,,na,na,na,na,
6620,14 comp cannabinoids std mix  15.625ng 5uL run 2-13-26.lcd,,na,na,na,17,11.712,1088,170, V ,,,0.243,na,na,na,na,na,5,,,na,na,na,na,
6689,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,1,1.244,9475,1530,   ,1,4-biphenylcarboxylic acid,7.786,na,na,na,na,na,5,,,na,na,na,na,
6701,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,13,6.562,12311,1397,   ,21,CBC,10.116,na,na,na,na,na,5,na,4.151042826,na,na,na,na,
6703,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,15,7.541,5695,596, V ,23,CBCA,4.679,na,na,na,na,na,5,,4.193911792,na,na,na,na,
6695,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,7,2.956,5647,1499, V ,13,CBD,4.641,na,na,na,na,na,5,,3.996553233,na,na,na,na,
6692,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,4,2.493,9561,3212,   ,10,CBDA,7.857,na,na,na,na,na,5,,3.405936382,na,na,na,na,
6691,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,3,2.04,6677,2331,   ,9,CBDV,5.487,na,na,na,na,na,5,,4.16026018,na,na,na,na,
6690,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,2,1.835,10212,4504,   ,7,CBDVA,8.392,na,na,na,na,na,5,,3.782676322,na,na,na,na,
6694,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,6,2.782,5184,1535,   ,12,CBG,4.26,na,na,na,na,na,5,,3.442282811,na,na,na,na,
6693,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,5,2.605,9699,3051, V ,11,CBGA,7.97,na,na,na,na,na,5,,3.698010458,na,na,na,na,
6698,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,10,4.242,12975,2431, V ,17,CBN,10.663,na,na,na,na,na,5,,3.79272205,na,na,na,na,
6696,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,8,3.187,5094,1409, V ,14,CBNA?,4.186,na,na,na,na,na,5,,1.98334003,na,na,na,na,
6700,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,12,5.472,4606,654, V ,19,delta-8-THC,3.785,na,na,na,na,na,5,,3.434051073,na,na,na,na,
6699,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,11,5.292,5390,764,   ,18,delta-9-THC,4.429,na,na,na,na,na,5,,3.914072602,na,na,na,na,
6702,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,14,6.795,9056,1049, V ,22,THCA-A,7.442,na,na,na,na,na,5,,4.129515511,na,na,na,na,
6697,14 comp cannabinoids std mix  3.905ng 5uL run 2-13-26.lcd,,na,na,na,9,3.936,10109,1990,   ,16,THCVA,8.307,na,na,na,na,na,5,,3.969785572,na,na,na,na,
6633,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,13,6.564,97060,11529,   ,21,CBC,10.848,na,na,na,na,na,5,na,32.69982819,na,na,na,na,
6635,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,15,7.54,45953,4587,SV ,23,CBCA,5.136,na,na,na,na,na,5,,32.58561996,na,na,na,na,
6627,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,7,2.958,42899,12130, V ,13,CBD,4.795,na,na,na,na,na,5,,30.97028136,na,na,na,na,
6624,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,4,2.495,79092,26907, V ,10,CBDA,8.84,na,na,na,na,na,5,,30.28647234,na,na,na,na,
6623,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,3,2.041,46313,18375, V ,9,CBDV,5.176,na,na,na,na,na,5,,30.34668033,na,na,na,na,
6622,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,2,1.837,83770,36939,   ,7,CBDVA,9.363,na,na,na,na,na,5,,31.66959241,na,na,na,na,
6626,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,6,2.784,43231,12826, V ,12,CBG,4.832,na,na,na,na,na,5,,30.37882804,na,na,na,na,
6625,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,5,2.606,78066,25021, V ,11,CBGA,8.725,na,na,na,na,na,5,,31.00023134,na,na,na,na,
6630,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,10,4.244,100689,19639, V ,17,CBN,11.254,na,na,na,na,na,5,,30.43200977,na,na,na,na,
6628,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,8,3.188,44060,11508, V ,14,CBNA?,4.925,na,na,na,na,na,5,,17.62361712,na,na,na,na,
6632,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,12,5.475,33976,5220, V ,19,delta-8-THC,3.797,na,na,na,na,na,5,,28.27396536,na,na,na,na,
6631,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,11,5.299,41746,6144, V ,18,delta-9-THC,4.666,na,na,na,na,na,5,,31.03057894,na,na,na,na,
6634,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,14,6.796,71327,8521, V ,22,THCA-A,7.972,na,na,na,na,na,5,,32.11804549,na,na,na,na,
6629,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,9,3.935,77314,16497, V ,16,THCVA,8.641,na,na,na,na,na,5,,31.14306626,na,na,na,na,
6621,14 comp cannabinoids std mix  31.25ng 5uL run 2-13-26.lcd,,na,na,na,1,1.246,9206,2617,   ,,,1.029,na,na,na,na,na,5,,,na,na,na,na,
6650,14 comp cannabinoids std mix  62.5ng 5uL run 2-13-26.lcd,,na,na,na,15,6.561,195837,23392, V ,21,CBC,10.901,na,na,na,na,na,5,na,65.95959642,na,na,na,na,
6652,14 comp cannabinoids std mix  62.5ng 5uL run 2-13-26.lcd,,na,na,na,17,7.533,92467,9455,   ,23,CBCA,5.147,na,na,na,na,na,5,,64.74442931,na,na,na,na,
6643,14 comp cannabinoids std mix  62.5ng 5uL run 2-13-26.lcd,,na,na,na,8,2.955,85980,24631, V ,13,CBD,4.786,na,na,na,na,na,5,,62.496333,na,na,na,na,
6640,14 comp cannabinoids std mix  62.5ng 5uL run 2-13-26.lcd,,na,na,na,5,2.493,159376,54443, V ,10,CBDA,8.871,na,na,na,na,na,5,,62.50946569,na,na,na,na,
6639,14 comp cannabinoids std mix  62.5ng 5uL run 2-13-26.lcd,,na,na,na,4,2.039,92638,37086, V ,9,CBDV,5.156,na,na,na,na,na,5,,61.80529572,na,na,na,na,
6638,14 comp cannabinoids std mix  62.5ng 5uL run 2-13-26.lcd,,na,na,na,3,1.834,168089,75440,   ,7,CBDVA,9.356,na,na,na,na,na,5,,63.97746452,na,na,na,na,
6642,14 comp cannabinoids std mix  62.5ng 5uL run 2-13-26.lcd,,na,na,na,7,2.782,86511,25823, V ,12,CBG,4.815,na,na,na,na,na,5,,61.92858211,na,na,na,na,
6641,14 comp cannabinoids std mix  62.5ng 5uL run 2-13-26.lcd,,na,na,na,6,2.604,158904,51043, V ,11,CBGA,8.845,na,na,na,na,na,5,,63.98187438,na,na,na,na,
